dataset,parameter,parameter_lab,plot,line,ribbon,bar,point,colour,fill,shape,line_type,bar_order,show_in_legend,selected_chart_0,selected_chart_1,selected_chart_2,selected_chart_3
Sensor,BES_A1__V,BES 1A,BES_VA,True,False,False,False,"rgba(213,38,39,1)","rgba(213,38,39,1)",1.0,solid,,True,1,1,1,1
Sensor,BES_A2__V,BES 2A,BES_VA,True,False,False,False,"rgba(43,159,43,1)","rgba(43,159,43,1)",1.0,solid,,True,1,1,1,1
Sensor,BES_A3__V,BES 3A,BES_VA,True,False,False,False,"rgba(30,118,179,1)","rgba(30,118,179,1)",1.0,solid,,True,1,1,1,1
Sensor,BES_A4__V,BES 4A,BES_VA,True,False,False,False,"rgba(147,103,188,1)","rgba(147,103,188,1)",1.0,solid,,True,1,1,1,1
Sensor,BES_B1__V,BES 1B,BES_VB,True,False,False,False,"rgba(213,38,39,1)","rgba(213,38,39,1)",1.0,longdash,,True,1,1,1,1
Sensor,BES_B2__V,BES 2B,BES_VB,True,False,False,False,"rgba(43,159,43,1)","rgba(43,159,43,1)",1.0,longdash,,True,1,1,1,1
Sensor,BES_B3__V,BES 3B,BES_VB,True,False,False,False,"rgba(30,118,179,1)","rgba(30,118,179,1)",1.0,longdash,,True,1,1,1,1
Sensor,BES_B4__V,BES 4B,BES_VB,True,False,False,False,"rgba(147,103,188,1)","rgba(147,103,188,1)",1.0,longdash,,True,1,1,1,1
Sensor,BES_C1__V,BES 1C,BES_VC,True,False,False,False,"rgba(213,38,39,1)","rgba(213,38,39,1)",1.0,twodash,,True,1,1,1,1
Sensor,BES_C2__V,BES 2C,BES_VC,True,False,False,False,"rgba(43,159,43,1)","rgba(43,159,43,1)",1.0,twodash,,True,1,1,1,1
Sensor,BES_C3__V,BES 3C,BES_VC,True,False,False,False,"rgba(30,118,179,1)","rgba(30,118,179,1)",1.0,twodash,,True,1,1,1,1
Sensor,BES_C4__V,BES 4C,BES_VC,True,False,False,False,"rgba(147,103,188,1)","rgba(147,103,188,1)",1.0,twodash,,True,1,1,1,1
Sensor,BES_A1__C,BES 1A,BES_CA,True,False,False,False,"rgba(213,38,39,1)","rgba(213,38,39,1)",1.0,solid,,True,1,1,1,1
Sensor,BES_A2__C,BES 2A,BES_CA,True,False,False,False,"rgba(43,159,43,1)","rgba(43,159,43,1)",1.0,solid,,True,1,1,1,1
Sensor,BES_A3__C,BES 3A,BES_CA,True,False,False,False,"rgba(30,118,179,1)","rgba(30,118,179,1)",1.0,solid,,True,1,1,1,1
Sensor,BES_A4__C,BES 4A,BES_CA,True,False,False,False,"rgba(147,103,188,1)","rgba(147,103,188,1)",1.0,solid,,True,1,1,1,1
Sensor,BES_B1__C,BES 1B,BES_CB,True,False,False,False,"rgba(213,38,39,1)","rgba(213,38,39,1)",1.0,longdash,,True,1,1,1,1
Sensor,BES_B2__C,BES 2B,BES_CB,True,False,False,False,"rgba(43,159,43,1)","rgba(43,159,43,1)",1.0,longdash,,True,1,1,1,1
Sensor,BES_B3__C,BES 3B,BES_CB,True,False,False,False,"rgba(30,118,179,1)","rgba(30,118,179,1)",1.0,longdash,,True,1,1,1,1
Sensor,BES_B4__C,BES 4B,BES_CB,True,False,False,False,"rgba(147,103,188,1)","rgba(147,103,188,1)",1.0,longdash,,True,1,1,1,1
Sensor,BES_C1__C,BES 1C,BES_CC,True,False,False,False,"rgba(213,38,39,1)","rgba(213,38,39,1)",1.0,twodash,,True,1,1,1,1
Sensor,BES_C2__C,BES 2C,BES_CC,True,False,False,False,"rgba(43,159,43,1)","rgba(43,159,43,1)",1.0,twodash,,True,1,1,1,1
Sensor,BES_C3__C,BES 3C,BES_CC,True,False,False,False,"rgba(30,118,179,1)","rgba(30,118,179,1)",1.0,twodash,,True,1,1,1,1
Sensor,BES_C4__C,BES 4C,BES_CC,True,False,False,False,"rgba(147,103,188,1)","rgba(147,103,188,1)",1.0,twodash,,True,1,1,1,1
Sensor,BES_A_SUM__V,∑ [BES A],BES_VA,True,False,False,False,"rgba(91,91,91,1)","rgba(91,91,91,1)",1.0,solid,,True,1,1,1,1
Sensor,BES_B_SUM__V,∑ [BES B],BES_VB,True,False,False,False,"rgba(91,91,91,1)","rgba(91,91,91,1)",1.0,solid,,True,1,1,1,1
Sensor,BES_C_SUM__V,∑ [BES C],BES_VC,True,False,False,False,"rgba(91,91,91,1)","rgba(91,91,91,1)",1.0,solid,,True,1,1,1,1
Sensor,BES_A_SUM__C,∑ [BES A],BES_CA,True,False,False,False,"rgba(91,91,91,1)","rgba(91,91,91,1)",1.0,solid,,True,1,1,1,1
Sensor,BES_B_SUM__C,∑ [BES B],BES_CB,True,False,False,False,"rgba(91,91,91,1)","rgba(91,91,91,1)",1.0,solid,,True,1,1,1,1
Sensor,BES_C_SUM__C,∑ [BES C],BES_CC,True,False,False,False,"rgba(91,91,91,1)","rgba(91,91,91,1)",1.0,solid,,True,1,1,1,1
Sensor,PUMP_SP,Pump Set Point,PUMP,True,False,False,False,"rgba(126,126,126,1)","rgba(126,126,126,1)",1.0,solid,,True,1,1,1,1
